Datum,Niederschlag_mm,Station,Zaehldaten,geometry,lon,lat,baseline_count,normalized_count
2024-01-04,0.74,Hüfferstraße,3207.0,POINT (7.61094 51.9617),7.61094,51.9617,5570.037249283668,0.5757591657780089
2024-01-04,0.74,Warendorfer Straße,5019.0,POINT (7.63768 51.96185),7.63768,51.96185,5864.186440677966,0.8558731975478848
2024-01-04,0.74,Neutor,6211.0,POINT (7.615511 51.966988),7.615511,51.966988,11173.782485875707,0.5558547437137832
2024-01-04,0.74,"Kanalpromenade, Abschnitt 5",630.0,POINT (7.64893 51.91717),7.64893,51.91717,1240.6734693877552,0.5077887256756534
2024-01-04,0.74,Promenade (in Höhe Hals),5984.0,POINT (7.6239339 51.9568468),7.6239339,51.9568468,9557.831428571428,0.6260834421197158
2024-01-04,0.74,"Kanalpromenade, Abschnitt 1",498.0,POINT (7.66207 51.9798853),7.66207,51.9798853,1345.877245508982,0.3700188866865544
2024-01-04,0.74,Lütkenbecker Weg,1284.0,POINT (7.651947 51.949545),7.651947,51.949545,3110.277456647399,0.41282490642620584
2024-01-04,0.74,Goldstraße,991.0,POINT (7.636264 51.967438),7.636264,51.967438,1420.4891640866872,0.6976469972843263
2024-01-04,0.74,Bohlweg,2756.0,POINT (7.638286 51.966436),7.638286,51.966436,4350.190340909091,0.6335354970752978
2024-01-04,0.74,Kinderhauser Straße,607.0,POINT (7.613773 51.978652),7.613773,51.978652,1036.6950146627566,0.5855145355333466
2024-01-04,0.74,Gasselstiege,1784.0,POINT (7.606586 51.979387),7.606586,51.979387,2806.578651685393,0.6356493871741955
2024-01-04,0.74,Schmeddingstraße,1403.0,POINT (7.59211 51.956734),7.59211,51.956734,2596.75,0.5402907480504476
2024-01-04,0.74,Weißenburgstraße,883.0,POINT (7.619567 51.942891),7.619567,51.942891,1264.9108280254777,0.6980729237478033
2024-01-04,0.74,"Kanalpromenade, Abschnitt 6",139.0,POINT (7.650465 51.887739),7.650465,51.887739,697.2668711656441,0.1993497837745096
2024-01-04,0.74,Coesfelder Kreuz,1181.0,POINT (7.5995429 51.9649268),7.5995429,51.9649268,5497.570247933884,0.21482217538627132
2024-01-04,0.74,Grevener Straße,700.0,POINT (7.612012 51.979612),7.612012,51.979612,1371.9252873563219,0.5102318664516264
2024-01-05,0.27,Wolbecker Straße,6358.0,POINT (7.636356 51.95921),7.636356,51.95921,9021.66386554622,0.70474804811574
2024-01-05,0.27,Promenade (nördlich Salzstraße),10161.0,POINT (7.634015197473532 51.960595599885565),7.634015197473532,51.960595599885565,14770.525568181818,0.6879240656059317
2024-01-05,0.27,Hafenstraße,5193.0,POINT (7.62974 51.95426),7.62974,51.95426,6812.623229461757,0.7622614410176742
2024-01-05,0.27,Gartenstraße,1910.0,POINT (7.635686416805148 51.97154102512242),7.635686416805148,51.97154102512242,2713.2514124293784,0.7039524576492648
2024-01-05,0.27,Hammer Straße,10650.0,POINT (7.62631 51.95462),7.62631,51.95462,14263.790960451977,0.746645827152709
2024-01-05,0.27,Hüfferstraße,3144.0,POINT (7.61094 51.9617),7.61094,51.9617,5570.037249283668,0.5644486489572996
2024-01-05,0.27,Warendorfer Straße,4796.0,POINT (7.63768 51.96185),7.63768,51.96185,5864.186440677966,0.8178457572105311
2024-01-05,0.27,Neutor,6349.0,POINT (7.615511 51.966988),7.615511,51.966988,11173.782485875707,0.5682050825694428
