Datum,Niederschlag_mm,Station,Zaehldaten,lon,lat
2024-01-05,0.27,Goldstraße,1026.0,7.636264,51.967438
2024-01-05,0.27,Goldstraße,1026.0,7.637027139079827,51.968020449618386
2024-01-05,0.27,Bohlweg,2705.0,7.638286,51.966436
2024-01-05,0.27,Bohlweg,2705.0,7.639231349153692,51.96662392485169
2024-01-05,0.27,Kinderhauser Straße,665.0,7.613773,51.978652
2024-01-05,0.27,Gasselstiege,1660.0,7.606586,51.979387
2024-01-05,0.27,Gasselstiege,1660.0,7.5890948527366735,51.993285797986395
2024-01-05,0.27,Schmeddingstraße,1449.0,7.59211,51.956734
2024-01-05,0.27,Schmeddingstraße,1449.0,7.591119585875852,51.95759316378006
2024-01-05,0.27,Weißenburgstraße,901.0,7.619567,51.942891
2024-01-05,0.27,Weißenburgstraße,901.0,7.619684341846338,51.942709589703966
2024-01-05,0.27,"Kanalpromenade, Abschnitt 6",151.0,7.650465,51.887739
2024-01-05,0.27,Coesfelder Kreuz,1655.0,7.5995429,51.9649268
2024-01-05,0.27,Grevener Straße,877.0,7.612012,51.979612
2024-01-06,0.0,Wolbecker Straße,5901.0,7.636356,51.95921
2024-01-06,0.0,Promenade (nördlich Salzstraße),7954.0,7.634015197473532,51.960595599885565
2024-01-06,0.0,Hafenstraße,4313.0,7.62974,51.95426
2024-01-06,0.0,Gartenstraße,1729.0,7.635686416805148,51.97154102512242
2024-01-06,0.0,Hammer Straße,10298.0,7.62631,51.95462
2024-01-06,0.0,Hüfferstraße,2666.0,7.61094,51.9617
2024-01-06,0.0,Hüfferstraße,2666.0,7.610067639341043,51.96158048107171
2024-01-06,0.0,Warendorfer Straße,4458.0,7.63768,51.96185
2024-01-06,0.0,Neutor,5815.0,7.615511,51.966988
2024-01-06,0.0,Neutor,5815.0,7.6153886638541985,51.96707241051129
2024-01-06,0.0,"Kanalpromenade, Abschnitt 5",354.0,7.64893,51.91717
2024-01-06,0.0,Promenade (in Höhe Hals),4156.0,7.6239339,51.9568468
2024-01-06,0.0,"Kanalpromenade, Abschnitt 1",369.0,7.66207,51.9798853
2024-01-06,0.0,Lütkenbecker Weg,1268.0,7.651947,51.949545
2024-01-06,0.0,Goldstraße,977.0,7.636264,51.967438
2024-01-06,0.0,Goldstraße,977.0,7.637027139079827,51.968020449618386
2024-01-06,0.0,Bohlweg,2517.0,7.638286,51.966436
2024-01-06,0.0,Bohlweg,2517.0,7.639231349153692,51.96662392485169
2024-01-06,0.0,Kinderhauser Straße,474.0,7.613773,51.978652
2024-01-06,0.0,Gasselstiege,1535.0,7.606586,51.979387
2024-01-06,0.0,Gasselstiege,1535.0,7.5890948527366735,51.993285797986395
2024-01-06,0.0,Schmeddingstraße,1142.0,7.59211,51.956734
2024-01-06,0.0,Schmeddingstraße,1142.0,7.591119585875852,51.95759316378006
2024-01-06,0.0,Weißenburgstraße,757.0,7.619567,51.942891
2024-01-06,0.0,Weißenburgstraße,757.0,7.619684341846338,51.942709589703966
2024-01-06,0.0,"Kanalpromenade, Abschnitt 6",174.0,7.650465,51.887739
2024-01-06,0.0,Coesfelder Kreuz,942.0,7.5995429,51.9649268
2024-01-06,0.0,Grevener Straße,763.0,7.612012,51.979612
2024-01-07,0.05,Wolbecker Straße,3294.0,7.636356,51.95921
2024-01-07,0.05,Promenade (nördlich Salzstraße),5589.0,7.634015197473532,51.960595599885565
2024-01-07,0.05,Hafenstraße,3375.0,7.62974,51.95426
2024-01-07,0.05,Gartenstraße,840.0,7.635686416805148,51.97154102512242
2024-01-07,0.05,Hammer Straße,4736.0,7.62631,51.95462
2024-01-07,0.05,Hüfferstraße,1590.0,7.61094,51.9617
2024-01-07,0.05,Hüfferstraße,1590.0,7.610067639341043,51.96158048107171
2024-01-07,0.05,Warendorfer Straße,2138.0,7.63768,51.96185
2024-01-07,0.05,Neutor,4266.0,7.615511,51.966988
2024-01-07,0.05,Neutor,4266.0,7.6153886638541985,51.96707241051129
2024-01-07,0.05,"Kanalpromenade, Abschnitt 5",396.0,7.64893,51.91717
2024-01-07,0.05,Promenade (in Höhe Hals),3511.0,7.6239339,51.9568468
2024-01-07,0.05,"Kanalpromenade, Abschnitt 1",443.0,7.66207,51.9798853
2024-01-07,0.05,Lütkenbecker Weg,732.0,7.651947,51.949545
2024-01-07,0.05,Goldstraße,459.0,7.636264,51.967438
2024-01-07,0.05,Goldstraße,459.0,7.637027139079827,51.968020449618386
2024-01-07,0.05,Bohlweg,1604.0,7.638286,51.966436
2024-01-07,0.05,Bohlweg,1604.0,7.639231349153692,51.96662392485169
2024-01-07,0.05,Kinderhauser Straße,374.0,7.613773,51.978652
2024-01-07,0.05,Gasselstiege,1066.0,7.606586,51.979387
2024-01-07,0.05,Gasselstiege,1066.0,7.5890948527366735,51.993285797986395
2024-01-07,0.05,Schmeddingstraße,738.0,7.59211,51.956734
2024-01-07,0.05,Schmeddingstraße,738.0,7.591119585875852,51.95759316378006
2024-01-07,0.05,Weißenburgstraße,512.0,7.619567,51.942891
2024-01-07,0.05,Weißenburgstraße,512.0,7.619684341846338,51.942709589703966
2024-01-07,0.05,"Kanalpromenade, Abschnitt 6",252.0,7.650465,51.887739
2024-01-07,0.05,Coesfelder Kreuz,820.0,7.5995429,51.9649268
2024-01-07,0.05,Grevener Straße,635.0,7.612012,51.979612
2024-01-08,0.0,Wolbecker Straße,9071.0,7.636356,51.95921
2024-01-08,0.0,Promenade (nördlich Salzstraße),14751.0,7.634015197473532,51.960595599885565
2024-01-08,0.0,Hafenstraße,6904.0,7.62974,51.95426
2024-01-08,0.0,Gartenstraße,2966.0,7.635686416805148,51.97154102512242
2024-01-08,0.0,Hammer Straße,14310.0,7.62631,51.95462
2024-01-08,0.0,Hüfferstraße,7012.0,7.61094,51.9617
2024-01-08,0.0,Hüfferstraße,7012.0,7.610067639341043,51.96158048107171
2024-01-08,0.0,Warendorfer Straße,6484.0,7.63768,51.96185
2024-01-08,0.0,Neutor,13440.0,7.615511,51.966988
2024-01-08,0.0,Neutor,13440.0,7.6153886638541985,51.96707241051129
2024-01-08,0.0,"Kanalpromenade, Abschnitt 5",846.0,7.64893,51.91717
2024-01-08,0.0,Promenade (in Höhe Hals),10436.0,7.6239339,51.9568468
2024-01-08,0.0,"Kanalpromenade, Abschnitt 1",814.0,7.66207,51.9798853
2024-01-08,0.0,Lütkenbecker Weg,2898.0,7.651947,51.949545
2024-01-08,0.0,Goldstraße,1340.0,7.636264,51.967438
2024-01-08,0.0,Goldstraße,1340.0,7.637027139079827,51.968020449618386
2024-01-08,0.0,Bohlweg,4327.0,7.638286,51.966436
2024-01-08,0.0,Bohlweg,4327.0,7.639231349153692,51.96662392485169
2024-01-08,0.0,Kinderhauser Straße,1021.0,7.613773,51.978652
2024-01-08,0.0,Gasselstiege,2910.0,7.606586,51.979387
2024-01-08,0.0,Gasselstiege,2910.0,7.5890948527366735,51.993285797986395
2024-01-08,0.0,Schmeddingstraße,2547.0,7.59211,51.956734
2024-01-08,0.0,Schmeddingstraße,2547.0,7.591119585875852,51.95759316378006
2024-01-08,0.0,Weißenburgstraße,1453.0,7.619567,51.942891
2024-01-08,0.0,Weißenburgstraße,1453.0,7.619684341846338,51.942709589703966
2024-01-08,0.0,"Kanalpromenade, Abschnitt 6",157.0,7.650465,51.887739
2024-01-08,0.0,Coesfelder Kreuz,4390.0,7.5995429,51.9649268
2024-01-08,0.0,Grevener Straße,1510.0,7.612012,51.979612
2024-01-09,0.0,Wolbecker Straße,8783.0,7.636356,51.95921
2024-01-09,0.0,Promenade (nördlich Salzstraße),14511.0,7.634015197473532,51.960595599885565
2024-01-09,0.0,Hafenstraße,6862.0,7.62974,51.95426
2024-01-09,0.0,Gartenstraße,2783.0,7.635686416805148,51.97154102512242
2024-01-09,0.0,Hammer Straße,13334.0,7.62631,51.95462
2024-01-09,0.0,Hüfferstraße,6585.0,7.61094,51.9617
2024-01-09,0.0,Hüfferstraße,6585.0,7.610067639341043,51.96158048107171
2024-01-09,0.0,Warendorfer Straße,6075.0,7.63768,51.96185
2024-01-09,0.0,Neutor,12692.0,7.615511,51.966988
2024-01-09,0.0,Neutor,12692.0,7.6153886638541985,51.96707241051129
2024-01-09,0.0,"Kanalpromenade, Abschnitt 5",820.0,7.64893,51.91717
2024-01-09,0.0,Promenade (in Höhe Hals),10088.0,7.6239339,51.9568468
2024-01-09,0.0,"Kanalpromenade, Abschnitt 1",776.0,7.66207,51.9798853
2024-01-09,0.0,Lütkenbecker Weg,2545.0,7.651947,51.949545
2024-01-09,0.0,Goldstraße,1289.0,7.636264,51.967438
2024-01-09,0.0,Goldstraße,1289.0,7.637027139079827,51.968020449618386
2024-01-09,0.0,Bohlweg,4265.0,7.638286,51.966436
2024-01-09,0.0,Bohlweg,4265.0,7.639231349153692,51.96662392485169
2024-01-09,0.0,Kinderhauser Straße,1056.0,7.613773,51.978652
2024-01-09,0.0,Gasselstiege,2682.0,7.606586,51.979387
2024-01-09,0.0,Gasselstiege,2682.0,7.5890948527366735,51.993285797986395
2024-01-09,0.0,Schmeddingstraße,2551.0,7.59211,51.956734
2024-01-09,0.0,Schmeddingstraße,2551.0,7.591119585875852,51.95759316378006
2024-01-09,0.0,Weißenburgstraße,1551.0,7.619567,51.942891
2024-01-09,0.0,Weißenburgstraße,1551.0,7.619684341846338,51.942709589703966
2024-01-09,0.0,"Kanalpromenade, Abschnitt 6",158.0,7.650465,51.887739
